"model","logloss"
"amyloid_binary ~ ptau231 + Ab_ratio + Calculated_Consensus_dx + apoe_ternary",0.27536881147091
"amyloid_binary ~ ptau231 + age_at_appointment + time_diff + apoe_ternary",0.282454705842552
"amyloid_binary ~ ptau231 + age_at_appointment + sex + apoe_ternary",0.282743698727317
"amyloid_binary ~ ptau231 + age_at_appointment + Calculated_Consensus_dx + apoe_ternary",0.280705043053918
"amyloid_binary ~ ptau231 + time_diff + sex + apoe_ternary",0.298002226035671
"amyloid_binary ~ ptau231 + time_diff + Calculated_Consensus_dx + apoe_ternary",0.29192421064165
"amyloid_binary ~ ptau231 + sex + Calculated_Consensus_dx + apoe_ternary",0.295147705848856
"amyloid_binary ~ ptau181 + pTau217 + GFAP + apoe_ternary",0.167366875095089
"amyloid_binary ~ ptau181 + pTau217 + NFL + apoe_ternary",0.167361530082822
"amyloid_binary ~ ptau181 + pTau217 + Ab_ratio + apoe_ternary",0.161371313833231
"amyloid_binary ~ ptau181 + pTau217 + age_at_appointment + apoe_ternary",0.167022951810308
"amyloid_binary ~ ptau181 + pTau217 + time_diff + apoe_ternary",0.170057234537957
"amyloid_binary ~ ptau181 + pTau217 + sex + apoe_ternary",0.169333315891234
"amyloid_binary ~ ptau181 + pTau217 + Calculated_Consensus_dx + apoe_ternary",0.166849430170437
"amyloid_binary ~ ptau181 + GFAP + NFL + apoe_ternary",0.295150025843506
"amyloid_binary ~ ptau181 + GFAP + Ab_ratio + apoe_ternary",0.277200934900516
"amyloid_binary ~ ptau181 + GFAP + age_at_appointment + apoe_ternary",0.286051737298009
"amyloid_binary ~ ptau181 + GFAP + time_diff + apoe_ternary",0.292241037630922
"amyloid_binary ~ ptau181 + GFAP + sex + apoe_ternary",0.295619835159866
"amyloid_binary ~ ptau181 + GFAP + Calculated_Consensus_dx + apoe_ternary",0.294291628688374
"amyloid_binary ~ ptau181 + NFL + Ab_ratio + apoe_ternary",0.286794150958702
"amyloid_binary ~ ptau181 + NFL + age_at_appointment + apoe_ternary",0.290394918703461
"amyloid_binary ~ ptau181 + NFL + time_diff + apoe_ternary",0.300380020599077
"amyloid_binary ~ ptau181 + NFL + sex + apoe_ternary",0.303026885091022
"amyloid_binary ~ ptau181 + NFL + Calculated_Consensus_dx + apoe_ternary",0.300681894147721
"amyloid_binary ~ ptau181 + Ab_ratio + age_at_appointment + apoe_ternary",0.2796555734079
"amyloid_binary ~ ptau181 + Ab_ratio + time_diff + apoe_ternary",0.287399158659822
"amyloid_binary ~ ptau181 + Ab_ratio + sex + apoe_ternary",0.288945567210287
"amyloid_binary ~ ptau181 + Ab_ratio + Calculated_Consensus_dx + apoe_ternary",0.286949999241174
"amyloid_binary ~ ptau181 + age_at_appointment + time_diff + apoe_ternary",0.290733531559394
"amyloid_binary ~ ptau181 + age_at_appointment + sex + apoe_ternary",0.291163015705379
"amyloid_binary ~ ptau181 + age_at_appointment + Calculated_Consensus_dx + apoe_ternary",0.289977246908903
"amyloid_binary ~ ptau181 + time_diff + sex + apoe_ternary",0.3025486201736
"amyloid_binary ~ ptau181 + time_diff + Calculated_Consensus_dx + apoe_ternary",0.299268455737967
"amyloid_binary ~ ptau181 + sex + Calculated_Consensus_dx + apoe_ternary",0.303201106088806
"amyloid_binary ~ pTau217 + GFAP + NFL + apoe_ternary",0.165686745546895
"amyloid_binary ~ pTau217 + GFAP + Ab_ratio + apoe_ternary",0.163592947955514
"amyloid_binary ~ pTau217 + GFAP + age_at_appointment + apoe_ternary",0.168982818470572
"amyloid_binary ~ pTau217 + GFAP + time_diff + apoe_ternary",0.171224875088223
"amyloid_binary ~ pTau217 + GFAP + sex + apoe_ternary",0.170392412384885
"amyloid_binary ~ pTau217 + GFAP + Calculated_Consensus_dx + apoe_ternary",0.167768063156139
"amyloid_binary ~ pTau217 + NFL + Ab_ratio + apoe_ternary",0.164762306740274
"amyloid_binary ~ pTau217 + NFL + age_at_appointment + apoe_ternary",0.165693771401002
"amyloid_binary ~ pTau217 + NFL + time_diff + apoe_ternary",0.170957985939437
"amyloid_binary ~ pTau217 + NFL + sex + apoe_ternary",0.170198642919275
"amyloid_binary ~ pTau217 + NFL + Calculated_Consensus_dx + apoe_ternary",0.167886051105016
"amyloid_binary ~ pTau217 + Ab_ratio + age_at_appointment + apoe_ternary",0.165698520597543
"amyloid_binary ~ pTau217 + Ab_ratio + time_diff + apoe_ternary",0.167519657951772
"amyloid_binary ~ pTau217 + Ab_ratio + sex + apoe_ternary",0.166637317457583
"amyloid_binary ~ pTau217 + Ab_ratio + Calculated_Consensus_dx + apoe_ternary",0.164289106421189
"amyloid_binary ~ pTau217 + age_at_appointment + time_diff + apoe_ternary",0.171378184592786
"amyloid_binary ~ pTau217 + age_at_appointment + sex + apoe_ternary",0.170470576981995
"amyloid_binary ~ pTau217 + age_at_appointment + Calculated_Consensus_dx + apoe_ternary",0.167985407918163
"amyloid_binary ~ pTau217 + time_diff + sex + apoe_ternary",0.173333747508732
"amyloid_binary ~ pTau217 + time_diff + Calculated_Consensus_dx + apoe_ternary",0.170676687808061
"amyloid_binary ~ pTau217 + sex + Calculated_Consensus_dx + apoe_ternary",0.17001633686217
"amyloid_binary ~ GFAP + NFL + Ab_ratio + apoe_ternary",0.307893690203155
"amyloid_binary ~ GFAP + NFL + age_at_appointment + apoe_ternary",0.328195452054828
"amyloid_binary ~ GFAP + NFL + time_diff + apoe_ternary",0.350924277641934
"amyloid_binary ~ GFAP + NFL + sex + apoe_ternary",0.351871855637945
"amyloid_binary ~ GFAP + NFL + Calculated_Consensus_dx + apoe_ternary",0.347277023574142
"amyloid_binary ~ GFAP + Ab_ratio + age_at_appointment + apoe_ternary",0.298687523409519
"amyloid_binary ~ GFAP + Ab_ratio + time_diff + apoe_ternary",0.307722123839981
"amyloid_binary ~ GFAP + Ab_ratio + sex + apoe_ternary",0.308364905576317
"amyloid_binary ~ GFAP + Ab_ratio + Calculated_Consensus_dx + apoe_ternary",0.305783165434456
"amyloid_binary ~ GFAP + age_at_appointment + time_diff + apoe_ternary",0.330163549738073
"amyloid_binary ~ GFAP + age_at_appointment + sex + apoe_ternary",0.329345816141693
"amyloid_binary ~ GFAP + age_at_appointment + Calculated_Consensus_dx + apoe_ternary",0.327876430018271
"amyloid_binary ~ GFAP + time_diff + sex + apoe_ternary",0.350361613260305
"amyloid_binary ~ GFAP + time_diff + Calculated_Consensus_dx + apoe_ternary",0.345051472682351
"amyloid_binary ~ GFAP + sex + Calculated_Consensus_dx + apoe_ternary",0.347248699287053
"amyloid_binary ~ NFL + Ab_ratio + age_at_appointment + apoe_ternary",0.316406107547053
"amyloid_binary ~ NFL + Ab_ratio + time_diff + apoe_ternary",0.333224682423727
"amyloid_binary ~ NFL + Ab_ratio + sex + apoe_ternary",0.333289287850321
"amyloid_binary ~ NFL + Ab_ratio + Calculated_Consensus_dx + apoe_ternary",0.327509868008933
"amyloid_binary ~ NFL + age_at_appointment + time_diff + apoe_ternary",0.344449087856393
"amyloid_binary ~ NFL + age_at_appointment + sex + apoe_ternary",0.343992988894946
"amyloid_binary ~ NFL + age_at_appointment + Calculated_Consensus_dx + apoe_ternary",0.33969143952747
"amyloid_binary ~ NFL + time_diff + sex + apoe_ternary",0.375464414098155
"amyloid_binary ~ NFL + time_diff + Calculated_Consensus_dx + apoe_ternary",0.365566032051084
"amyloid_binary ~ NFL + sex + Calculated_Consensus_dx + apoe_ternary",0.366706371073677
"amyloid_binary ~ Ab_ratio + age_at_appointment + time_diff + apoe_ternary",0.317163953460539
"amyloid_binary ~ Ab_ratio + age_at_appointment + sex + apoe_ternary",0.317122631131089
"amyloid_binary ~ Ab_ratio + age_at_appointment + Calculated_Consensus_dx + apoe_ternary",0.314105628202578
"amyloid_binary ~ Ab_ratio + time_diff + sex + apoe_ternary",0.338883576195041
"amyloid_binary ~ Ab_ratio + time_diff + Calculated_Consensus_dx + apoe_ternary",0.33077217253733
"amyloid_binary ~ Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary",0.331815076530519
"amyloid_binary ~ ptau231 + ptau181 + pTau217 + GFAP + apoe_ternary",0.168486638097384
"amyloid_binary ~ ptau231 + ptau181 + pTau217 + NFL + apoe_ternary",0.167650105504988
"amyloid_binary ~ ptau231 + ptau181 + pTau217 + Ab_ratio + apoe_ternary",0.162379343462685
"amyloid_binary ~ ptau231 + ptau181 + pTau217 + age_at_appointment + apoe_ternary",0.168292822254867
"amyloid_binary ~ ptau231 + ptau181 + pTau217 + time_diff + apoe_ternary",0.171069532009448
"amyloid_binary ~ ptau231 + ptau181 + pTau217 + sex + apoe_ternary",0.170340807136823
"amyloid_binary ~ ptau231 + ptau181 + pTau217 + Calculated_Consensus_dx + apoe_ternary",0.168154430406206
"amyloid_binary ~ ptau231 + ptau181 + GFAP + NFL + apoe_ternary",0.28470765331433
"amyloid_binary ~ ptau231 + ptau181 + GFAP + Ab_ratio + apoe_ternary",0.2672928062695
"amyloid_binary ~ ptau231 + ptau181 + GFAP + age_at_appointment + apoe_ternary",0.276583837772136
"amyloid_binary ~ ptau231 + ptau181 + GFAP + time_diff + apoe_ternary",0.283216886832022
"amyloid_binary ~ ptau231 + ptau181 + GFAP + sex + apoe_ternary",0.285847388209577
"amyloid_binary ~ ptau231 + ptau181 + GFAP + Calculated_Consensus_dx + apoe_ternary",0.284420633364363
"amyloid_binary ~ ptau231 + ptau181 + NFL + Ab_ratio + apoe_ternary",0.276184944117544
"amyloid_binary ~ ptau231 + ptau181 + NFL + age_at_appointment + apoe_ternary",0.279032896607699
"amyloid_binary ~ ptau231 + ptau181 + NFL + time_diff + apoe_ternary",0.290424628298717
"amyloid_binary ~ ptau231 + ptau181 + NFL + sex + apoe_ternary",0.292924547348272
"amyloid_binary ~ ptau231 + ptau181 + NFL + Calculated_Consensus_dx + apoe_ternary",0.290232210844309
"amyloid_binary ~ ptau231 + ptau181 + Ab_ratio + age_at_appointment + apoe_ternary",0.269265726482631
"amyloid_binary ~ ptau231 + ptau181 + Ab_ratio + time_diff + apoe_ternary",0.276015904897244
"amyloid_binary ~ ptau231 + ptau181 + Ab_ratio + sex + apoe_ternary",0.27715903385911
"amyloid_binary ~ ptau231 + ptau181 + Ab_ratio + Calculated_Consensus_dx + apoe_ternary",0.275170406721954
"amyloid_binary ~ ptau231 + ptau181 + age_at_appointment + time_diff + apoe_ternary",0.280777599483456
"amyloid_binary ~ ptau231 + ptau181 + age_at_appointment + sex + apoe_ternary",0.281047595346707
"amyloid_binary ~ ptau231 + ptau181 + age_at_appointment + Calculated_Consensus_dx + apoe_ternary",0.280094698732374
"amyloid_binary ~ ptau231 + ptau181 + time_diff + sex + apoe_ternary",0.291833014722289
"amyloid_binary ~ ptau231 + ptau181 + time_diff + Calculated_Consensus_dx + apoe_ternary",0.288558769950673
"amyloid_binary ~ ptau231 + ptau181 + sex + Calculated_Consensus_dx + apoe_ternary",0.291550154214639
"amyloid_binary ~ ptau231 + pTau217 + GFAP + NFL + apoe_ternary",0.16767613222728
"amyloid_binary ~ ptau231 + pTau217 + GFAP + Ab_ratio + apoe_ternary",0.165971149447392
"amyloid_binary ~ ptau231 + pTau217 + GFAP + age_at_appointment + apoe_ternary",0.171549963587844
"amyloid_binary ~ ptau231 + pTau217 + GFAP + time_diff + apoe_ternary",0.173581120943794
"amyloid_binary ~ ptau231 + pTau217 + GFAP + sex + apoe_ternary",0.172832973951443
"amyloid_binary ~ ptau231 + pTau217 + GFAP + Calculated_Consensus_dx + apoe_ternary",0.170294309088581
"amyloid_binary ~ ptau231 + pTau217 + NFL + Ab_ratio + apoe_ternary",0.167269418596933
"amyloid_binary ~ ptau231 + pTau217 + NFL + age_at_appointment + apoe_ternary",0.167825259952345
"amyloid_binary ~ ptau231 + pTau217 + NFL + time_diff + apoe_ternary",0.173066816224334
"amyloid_binary ~ ptau231 + pTau217 + NFL + sex + apoe_ternary",0.172415283864389
"amyloid_binary ~ ptau231 + pTau217 + NFL + Calculated_Consensus_dx + apoe_ternary",0.170261295359147
"amyloid_binary ~ ptau231 + pTau217 + Ab_ratio + age_at_appointment + apoe_ternary",0.168195429395115
"amyloid_binary ~ ptau231 + pTau217 + Ab_ratio + time_diff + apoe_ternary",0.169873152442235
"amyloid_binary ~ ptau231 + pTau217 + Ab_ratio + sex + apoe_ternary",0.169067011162313
"amyloid_binary ~ ptau231 + pTau217 + Ab_ratio + Calculated_Consensus_dx + apoe_ternary",0.166768610540676
"amyloid_binary ~ ptau231 + pTau217 + age_at_appointment + time_diff + apoe_ternary",0.173881576751051
"amyloid_binary ~ ptau231 + pTau217 + age_at_appointment + sex + apoe_ternary",0.173057961972875
"amyloid_binary ~ ptau231 + pTau217 + age_at_appointment + Calculated_Consensus_dx + apoe_ternary",0.170640125287015
"amyloid_binary ~ ptau231 + pTau217 + time_diff + sex + apoe_ternary",0.17567889968928
"amyloid_binary ~ ptau231 + pTau217 + time_diff + Calculated_Consensus_dx + apoe_ternary",0.173144168243963
"amyloid_binary ~ ptau231 + pTau217 + sex + Calculated_Consensus_dx + apoe_ternary",0.17254031069665
"amyloid_binary ~ ptau231 + GFAP + NFL + Ab_ratio + apoe_ternary",0.265788669297766
"amyloid_binary ~ ptau231 + GFAP + NFL + age_at_appointment + apoe_ternary",0.273126595456385
"amyloid_binary ~ ptau231 + GFAP + NFL + time_diff + apoe_ternary",0.288213658108626
"amyloid_binary ~ ptau231 + GFAP + NFL + sex + apoe_ternary",0.29152121762241
"amyloid_binary ~ ptau231 + GFAP + NFL + Calculated_Consensus_dx + apoe_ternary",0.288100438790767
"amyloid_binary ~ ptau231 + GFAP + Ab_ratio + age_at_appointment + apoe_ternary",0.264127099202734
"amyloid_binary ~ ptau231 + GFAP + Ab_ratio + time_diff + apoe_ternary",0.268154681717012
"amyloid_binary ~ ptau231 + GFAP + Ab_ratio + sex + apoe_ternary",0.269056130180797
"amyloid_binary ~ ptau231 + GFAP + Ab_ratio + Calculated_Consensus_dx + apoe_ternary",0.267779556503525
"amyloid_binary ~ ptau231 + GFAP + age_at_appointment + time_diff + apoe_ternary",0.279476851044193
"amyloid_binary ~ ptau231 + GFAP + age_at_appointment + sex + apoe_ternary",0.279772977435807
"amyloid_binary ~ ptau231 + GFAP + age_at_appointment + Calculated_Consensus_dx + apoe_ternary",0.278879537906757
"amyloid_binary ~ ptau231 + GFAP + time_diff + sex + apoe_ternary",0.289710493942696
"amyloid_binary ~ ptau231 + GFAP + time_diff + Calculated_Consensus_dx + apoe_ternary",0.286618535959126
"amyloid_binary ~ ptau231 + GFAP + sex + Calculated_Consensus_dx + apoe_ternary",0.289660151074085
"amyloid_binary ~ ptau231 + NFL + Ab_ratio + age_at_appointment + apoe_ternary",0.269055316585275
"amyloid_binary ~ ptau231 + NFL + Ab_ratio + time_diff + apoe_ternary",0.278652152620699
"amyloid_binary ~ ptau231 + NFL + Ab_ratio + sex + apoe_ternary",0.27976378745264
"amyloid_binary ~ ptau231 + NFL + Ab_ratio + Calculated_Consensus_dx + apoe_ternary",0.27683229733319
"amyloid_binary ~ ptau231 + NFL + age_at_appointment + time_diff + apoe_ternary",0.282635088324314
"amyloid_binary ~ ptau231 + NFL + age_at_appointment + sex + apoe_ternary",0.28292064637778
"amyloid_binary ~ ptau231 + NFL + age_at_appointment + Calculated_Consensus_dx + apoe_ternary",0.280502269719416
"amyloid_binary ~ ptau231 + NFL + time_diff + sex + apoe_ternary",0.298497189691385
"amyloid_binary ~ ptau231 + NFL + time_diff + Calculated_Consensus_dx + apoe_ternary",0.293100181434194
"amyloid_binary ~ ptau231 + NFL + sex + Calculated_Consensus_dx + apoe_ternary",0.296054056865632
"amyloid_binary ~ ptau231 + Ab_ratio + age_at_appointment + time_diff + apoe_ternary",0.27124363896019
"amyloid_binary ~ ptau231 + Ab_ratio + age_at_appointment + sex + apoe_ternary",0.271252542323026
"amyloid_binary ~ ptau231 + Ab_ratio + age_at_appointment + Calculated_Consensus_dx + apoe_ternary",0.269906718580429
"amyloid_binary ~ ptau231 + Ab_ratio + time_diff + sex + apoe_ternary",0.279768305252826
"amyloid_binary ~ ptau231 + Ab_ratio + time_diff + Calculated_Consensus_dx + apoe_ternary",0.276456855698756
"amyloid_binary ~ ptau231 + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary",0.277759690465898
"amyloid_binary ~ ptau231 + age_at_appointment + time_diff + sex + apoe_ternary",0.284670627820917
"amyloid_binary ~ ptau231 + age_at_appointment + time_diff + Calculated_Consensus_dx + apoe_ternary",0.28240969239608
"amyloid_binary ~ ptau231 + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary",0.283133099470412
"amyloid_binary ~ ptau231 + time_diff + sex + Calculated_Consensus_dx + apoe_ternary",0.294243427862113
"amyloid_binary ~ ptau181 + pTau217 + GFAP + NFL + apoe_ternary",0.165538114194234
"amyloid_binary ~ ptau181 + pTau217 + GFAP + Ab_ratio + apoe_ternary",0.160158538798284
"amyloid_binary ~ ptau181 + pTau217 + GFAP + age_at_appointment + apoe_ternary",0.168083658853435
"amyloid_binary ~ ptau181 + pTau217 + GFAP + time_diff + apoe_ternary",0.170678021901934
"amyloid_binary ~ ptau181 + pTau217 + GFAP + sex + apoe_ternary",0.169857939273939
"amyloid_binary ~ ptau181 + pTau217 + GFAP + Calculated_Consensus_dx + apoe_ternary",0.167121889020056
"amyloid_binary ~ ptau181 + pTau217 + NFL + Ab_ratio + apoe_ternary",0.16259181284733
"amyloid_binary ~ ptau181 + pTau217 + NFL + age_at_appointment + apoe_ternary",0.165202785382118
"amyloid_binary ~ ptau181 + pTau217 + NFL + time_diff + apoe_ternary",0.170572409209852
"amyloid_binary ~ ptau181 + pTau217 + NFL + sex + apoe_ternary",0.169870760425727
"amyloid_binary ~ ptau181 + pTau217 + NFL + Calculated_Consensus_dx + apoe_ternary",0.167567455189849
"amyloid_binary ~ ptau181 + pTau217 + Ab_ratio + age_at_appointment + apoe_ternary",0.162757402785978
"amyloid_binary ~ ptau181 + pTau217 + Ab_ratio + time_diff + apoe_ternary",0.164693458681514
"amyloid_binary ~ ptau181 + pTau217 + Ab_ratio + sex + apoe_ternary",0.163935094784137
"amyloid_binary ~ ptau181 + pTau217 + Ab_ratio + Calculated_Consensus_dx + apoe_ternary",0.161375887657487
"amyloid_binary ~ ptau181 + pTau217 + age_at_appointment + time_diff + apoe_ternary",0.170231082650305
"amyloid_binary ~ ptau181 + pTau217 + age_at_appointment + sex + apoe_ternary",0.16946857480509
"amyloid_binary ~ ptau181 + pTau217 + age_at_appointment + Calculated_Consensus_dx + apoe_ternary",0.166843195180779
"amyloid_binary ~ ptau181 + pTau217 + time_diff + sex + apoe_ternary",0.172656553664809
"amyloid_binary ~ ptau181 + pTau217 + time_diff + Calculated_Consensus_dx + apoe_ternary",0.169908054519068
"amyloid_binary ~ ptau181 + pTau217 + sex + Calculated_Consensus_dx + apoe_ternary",0.169366995097523
"amyloid_binary ~ ptau181 + GFAP + NFL + Ab_ratio + apoe_ternary",0.278154701697758
"amyloid_binary ~ ptau181 + GFAP + NFL + age_at_appointment + apoe_ternary",0.285569461019726
"amyloid_binary ~ ptau181 + GFAP + NFL + time_diff + apoe_ternary",0.293508902312552
"amyloid_binary ~ ptau181 + GFAP + NFL + sex + apoe_ternary",0.297038800857682
"amyloid_binary ~ ptau181 + GFAP + NFL + Calculated_Consensus_dx + apoe_ternary",0.295705447874686
"amyloid_binary ~ ptau181 + GFAP + Ab_ratio + age_at_appointment + apoe_ternary",0.27427324959371
"amyloid_binary ~ ptau181 + GFAP + Ab_ratio + time_diff + apoe_ternary",0.27757476110725
"amyloid_binary ~ ptau181 + GFAP + Ab_ratio + sex + apoe_ternary",0.278852684896879
"amyloid_binary ~ ptau181 + GFAP + Ab_ratio + Calculated_Consensus_dx + apoe_ternary",0.278104355001862
"amyloid_binary ~ ptau181 + GFAP + age_at_appointment + time_diff + apoe_ternary",0.287146180417795
"amyloid_binary ~ ptau181 + GFAP + age_at_appointment + sex + apoe_ternary",0.287719339447353
"amyloid_binary ~ ptau181 + GFAP + age_at_appointment + Calculated_Consensus_dx + apoe_ternary",0.287400925933011
"amyloid_binary ~ ptau181 + GFAP + time_diff + sex + apoe_ternary",0.293987855858393
"amyloid_binary ~ ptau181 + GFAP + time_diff + Calculated_Consensus_dx + apoe_ternary",0.292565203083972
"amyloid_binary ~ ptau181 + GFAP + sex + Calculated_Consensus_dx + apoe_ternary",0.296519162972037
"amyloid_binary ~ ptau181 + NFL + Ab_ratio + age_at_appointment + apoe_ternary",0.281009763435474
"amyloid_binary ~ ptau181 + NFL + Ab_ratio + time_diff + apoe_ternary",0.287743418468679
"amyloid_binary ~ ptau181 + NFL + Ab_ratio + sex + apoe_ternary",0.288896848554586
"amyloid_binary ~ ptau181 + NFL + Ab_ratio + Calculated_Consensus_dx + apoe_ternary",0.287361645962608
"amyloid_binary ~ ptau181 + NFL + age_at_appointment + time_diff + apoe_ternary",0.29191093026251
"amyloid_binary ~ ptau181 + NFL + age_at_appointment + sex + apoe_ternary",0.29237862947741
"amyloid_binary ~ ptau181 + NFL + age_at_appointment + Calculated_Consensus_dx + apoe_ternary",0.291226045523982
"amyloid_binary ~ ptau181 + NFL + time_diff + sex + apoe_ternary",0.302307417846547
"amyloid_binary ~ ptau181 + NFL + time_diff + Calculated_Consensus_dx + apoe_ternary",0.299639384949303
"amyloid_binary ~ ptau181 + NFL + sex + Calculated_Consensus_dx + apoe_ternary",0.302963769845836
"amyloid_binary ~ ptau181 + Ab_ratio + age_at_appointment + time_diff + apoe_ternary",0.281758346672692
"amyloid_binary ~ ptau181 + Ab_ratio + age_at_appointment + sex + apoe_ternary",0.281840894572272
