model,press
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.676333426
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Ab_ratio + sex + Calculated_Consensus_dx,3.676378594
Amyloid_PET ~ ptau181 + pTau217 + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.677260128
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + time_diff + sex + Calculated_Consensus_dx,3.67771799
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.677903556
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + Ab_ratio + sex + Calculated_Consensus_dx,3.678536306
Amyloid_PET ~ ptau231 + pTau217 + GFAP + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.678579322
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.678737399
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.679858334
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + time_diff + Calculated_Consensus_dx + apoe_ternary,3.680508851
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx,3.680591692
Amyloid_PET ~ ptau231 + pTau217 + GFAP + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.680669757
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.681228212
Amyloid_PET ~ pTau217 + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.681635694
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary,3.681835545
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + sex + apoe_ternary,3.682177346
Amyloid_PET ~ ptau181 + pTau217 + Ab_ratio + sex + Calculated_Consensus_dx,3.682189511
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + Calculated_Consensus_dx + apoe_ternary,3.682394145
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.682888757
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.683108118
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx,3.683300987
Amyloid_PET ~ pTau217 + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.683310784
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx,3.683339987
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + sex + apoe_ternary,3.683562262
Amyloid_PET ~ pTau217 + Ab_ratio + sex + Calculated_Consensus_dx,3.683633254
Amyloid_PET ~ pTau217 + NFL + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.684383079
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.684761676
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx,3.684830889
Amyloid_PET ~ ptau231 + pTau217 + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary,3.685056664
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + Ab_ratio + sex + Calculated_Consensus_dx,3.68531681
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.685446256
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx,3.685474462
Amyloid_PET ~ ptau231 + pTau217 + GFAP + Ab_ratio + sex + Calculated_Consensus_dx,3.68569041
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Ab_ratio + sex + Calculated_Consensus_dx + apoe_binary,3.685778968
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + time_diff + Calculated_Consensus_dx + apoe_ternary,3.686223956
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.68646242
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + Calculated_Consensus_dx + apoe_ternary,3.686475625
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + sex + apoe_ternary,3.687294482
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.687704893
Amyloid_PET ~ ptau181 + pTau217 + Ab_ratio + sex + Calculated_Consensus_dx + apoe_binary,3.687809398
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + Ab_ratio + sex + Calculated_Consensus_dx + apoe_binary,3.688330115
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.688330679
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx,3.688343708
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + Calculated_Consensus_dx,3.688504393
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + sex + apoe_ternary,3.688871671
Amyloid_PET ~ pTau217 + Ab_ratio + sex + Calculated_Consensus_dx + apoe_binary,3.688940509
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + time_diff + Calculated_Consensus_dx + apoe_ternary,3.689513816
Amyloid_PET ~ ptau181 + pTau217 + NFL + Ab_ratio + sex + Calculated_Consensus_dx,3.689724341
Amyloid_PET ~ ptau231 + pTau217 + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.689946251
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + NFL + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary,3.690026131
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.690116295
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Ab_ratio + Calculated_Consensus_dx + apoe_ternary,3.69017728
Amyloid_PET ~ pTau217 + NFL + Ab_ratio + sex + Calculated_Consensus_dx,3.690217493
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + time_diff + sex + apoe_ternary,3.690809367
Amyloid_PET ~ ptau181 + pTau217 + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx,3.69096445
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx,3.691270944
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + time_diff + sex + apoe_ternary,3.691370623
Amyloid_PET ~ ptau181 + pTau217 + Ab_ratio + time_diff + sex + Calculated_Consensus_dx,3.6922573
Amyloid_PET ~ ptau231 + pTau217 + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.692319293
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + Ab_ratio + sex + Calculated_Consensus_dx + apoe_binary,3.692410302
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx,3.692654852
Amyloid_PET ~ ptau231 + pTau217 + GFAP + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.692797475
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.692977099
Amyloid_PET ~ pTau217 + Ab_ratio + time_diff + sex + Calculated_Consensus_dx,3.693032795
Amyloid_PET ~ ptau181 + pTau217 + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.693167759
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.693182487
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.693333541
Amyloid_PET ~ ptau231 + pTau217 + GFAP + Ab_ratio + sex + Calculated_Consensus_dx + apoe_binary,3.693338034
Amyloid_PET ~ ptau231 + pTau217 + NFL + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary,3.693757742
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + Ab_ratio + Calculated_Consensus_dx + apoe_ternary,3.694019822
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.694184839
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + time_diff + Calculated_Consensus_dx,3.694347189
Amyloid_PET ~ ptau181 + pTau217 + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx,3.694362132
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + sex + apoe_ternary,3.694423723
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.694459272
Amyloid_PET ~ pTau217 + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx,3.694459317
Amyloid_PET ~ ptau231 + pTau217 + GFAP + Ab_ratio + time_diff + sex + Calculated_Consensus_dx,3.694924032
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + Ab_ratio + time_diff + sex + Calculated_Consensus_dx,3.695103337
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.695111703
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + age_at_appointment + time_diff + Calculated_Consensus_dx + apoe_ternary,3.6954281
Amyloid_PET ~ ptau181 + pTau217 + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.69559622
Amyloid_PET ~ ptau181 + pTau217 + NFL + Ab_ratio + sex + Calculated_Consensus_dx + apoe_binary,3.696090268
Amyloid_PET ~ ptau231 + pTau217 + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.69614706
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + time_diff + Calculated_Consensus_dx + apoe_ternary,3.696450831
Amyloid_PET ~ pTau217 + NFL + Ab_ratio + sex + Calculated_Consensus_dx + apoe_binary,3.696484744
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + Calculated_Consensus_dx,3.69668679
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + sex,3.696805781
Amyloid_PET ~ pTau217 + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx,3.697259645
Amyloid_PET ~ pTau217 + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.697367299
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + sex + apoe_ternary,3.697420948
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + time_diff + sex + apoe_ternary,3.697903529
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.697942219
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx,3.698199732
Amyloid_PET ~ ptau181 + pTau217 + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.698249294
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Ab_ratio + time_diff + Calculated_Consensus_dx + apoe_ternary,3.698514819
Amyloid_PET ~ pTau217 + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.698745544
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.698782135
Amyloid_PET ~ pTau217 + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx,3.698806374
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + time_diff + sex + apoe_ternary,3.698952359
Amyloid_PET ~ pTau217 + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.699100337
Amyloid_PET ~ ptau181 + pTau217 + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx,3.699173824
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + sex,3.699517654
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.699540908
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + Ab_ratio + Calculated_Consensus_dx + apoe_ternary,3.699596543
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + NFL + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.699849607
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + Calculated_Consensus_dx + apoe_binary,3.700082545
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx,3.700156754
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx,3.700348938
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + Calculated_Consensus_dx,3.70046733
Amyloid_PET ~ ptau231 + pTau217 + GFAP + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx,3.7007125
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.700715934
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.701045715
Amyloid_PET ~ ptau181 + pTau217 + Ab_ratio + Calculated_Consensus_dx + apoe_ternary,3.701158209
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.701459024
Amyloid_PET ~ ptau231 + pTau217 + GFAP + Ab_ratio + Calculated_Consensus_dx + apoe_ternary,3.701592105
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + age_at_appointment + sex + apoe_ternary,3.7023265
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + time_diff + sex,3.702355384
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.702552532
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + Calculated_Consensus_dx,3.702584505
Amyloid_PET ~ pTau217 + Ab_ratio + sex + apoe_ternary,3.702840633
Amyloid_PET ~ ptau231 + pTau217 + GFAP + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.702932901
Amyloid_PET ~ ptau231 + pTau217 + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.703052381
Amyloid_PET ~ ptau181 + pTau217 + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx,3.70312226
Amyloid_PET ~ ptau231 + pTau217 + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.70434651
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + time_diff + Calculated_Consensus_dx + apoe_ternary,3.70457838
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + age_at_appointment + sex + apoe_ternary,3.704591492
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + Ab_ratio + time_diff + Calculated_Consensus_dx + apoe_ternary,3.704881951
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + time_diff + Calculated_Consensus_dx,3.704908666
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + time_diff + sex + apoe_ternary,3.705071077
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Ab_ratio + sex + apoe_ternary,3.705108493
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + apoe_ternary,3.705162624
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.705163244
Amyloid_PET ~ ptau181 + pTau217 + Ab_ratio + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.705181531
Amyloid_PET ~ ptau231 + pTau217 + NFL + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.705478043
Amyloid_PET ~ pTau217 + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.705581381
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + time_diff + Calculated_Consensus_dx,3.705631825
Amyloid_PET ~ pTau217 + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx,3.705688378
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + Calculated_Consensus_dx + apoe_binary,3.705778258
Amyloid_PET ~ ptau231 + pTau217 + Ab_ratio + sex + Calculated_Consensus_dx,3.705901178
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + time_diff + sex,3.705989882
Amyloid_PET ~ ptau181 + pTau217 + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.706004847
Amyloid_PET ~ ptau181 + pTau217 + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.706184494
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + time_diff + Calculated_Consensus_dx + apoe_binary,3.706399138
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.706466819
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + sex,3.706532339
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + sex + apoe_binary,3.706591011
Amyloid_PET ~ ptau181 + pTau217 + NFL + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx,3.70664167
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + time_diff + sex + apoe_ternary,3.707167446
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + Ab_ratio + time_diff + Calculated_Consensus_dx + apoe_ternary,3.707197572
